match_id,round,roundname__doc,time_datetime,teams_home_name,result_home,result_away,teams_away_name,cuproundmatchnumber,cuproundnumberofmatches,week,_seasonid,neutralground,comment,stadiumid,bestof,walkover,retired,disqualified,numberofperiods,roundname_displaynumber,roundname_name,roundname_shortname,result_period,result_winner,periods_p1_home,periods_p1_away,periods_ft_home,periods_ft_away,teams_home__doc,teams_home_mediumname,teams_home_abbr,teams_away_name,teams_away_mediumname,teams_away_abbr,teams_away_nickname,periods_ot_home,periods_ot_away,periods_ap_home,periods_ap_away
34004457,2,cupround,2022-06-21 15:00:00,La Fiorita,1.0,2.0,Inter Club de Escaldes,1,1,25,93959,True,"1:0 (45.) D.Rinaldi, 1:1 (55.) G.Soldevila, 1:2 (66.) G.Soldevila",18840,,False,False,False,2,,Demi-finales,DF,nt,away,1.0,0.0,1.0,2.0,team,La Fiorita,LAF,Inter Club de Escaldes,Inter Club de Escaldes,ESC,,,,,
34004455,2,cupround,2022-06-21 21:30:00,Levadia Tallinn,1.0,6.0,Vikingur Reykjavik,1,1,25,93959,True,"1:0 (5.) Z.Beglarishvili (pen), 1:1 (10.) K.McLagan, 1:2 (27.) K.Ingason, 1:3 (45.) H.Sigurdsson, 1:4 (49.) N.Hansen, 1:5 (71.) H.Gudjonsson, 1:6 (77.) J.Magnusson",18840,,False,False,False,2,,Demi-finales,DF,nt,away,1.0,3.0,1.0,6.0,team,Levadia Tallinn,LEV,Vikingur Reykjavik,Vikingur Reykjavik,VIK,,,,,
34242849,1,cupround,2022-06-24 21:30:00,Inter Club de Escaldes,0.0,1.0,Vikingur Reykjavik,1,1,25,93959,True,0:1 (68.) K.Ingason,0,,False,False,False,2,,Finale,F,nt,away,0.0,0.0,0.0,1.0,team,Inter Club de Escaldes,ESC,Vikingur Reykjavik,Vikingur Reykjavik,VIK,,,,,
34115239,14,cupround,2022-07-05 18:00:00,Pyunik,0.0,0.0,CFR Cluj,1,2,27,93959,False,,919,,False,False,False,2,,Tour qualificatif 1,TQ1,nt,,0.0,0.0,0.0,0.0,team,FC Pyunik,PYU,CFR Cluj,CFR Cluj,CFR,,,,,
34293585,14,cupround,2022-07-05 19:00:00,Malmö,3.0,2.0,Vikingur Reykjavik,1,2,27,93959,False,"1:0 (16.) M.Olsson, 1:1 (38.) K.Ingason, 2:1 (42.) O.Toivonen, 3:1 (84.) V.Birmancevic, 3:2 (90.) H.Gudjonsson",1211,,False,False,False,2,,Tour qualificatif 1,TQ1,nt,home,2.0,1.0,3.0,2.0,team,Malmö FF,MAL,Vikingur Reykjavik,Vikingur Reykjavik,VIK,,,,,
34115255,14,cupround,2022-07-05 19:45:00,Ludogorets Razgrad,2.0,0.0,FK Sutjeska Niksic,1,2,27,93959,False,"1:0 (74.) A.Santana, 2:0 (90.) M.Tissera",3136,,False,False,False,2,,Tour qualificatif 1,TQ1,nt,home,0.0,0.0,2.0,0.0,team,Ludogorets Razgrad,LUD,FK Sutjeska Niksic,FK Sutjeska Niksic,SUN,,,,,
34115299,14,cupround,2022-07-05 20:00:00,Ballkani,1.0,1.0,Vilnius FK Zalgiris,1,2,27,93959,False,"1:0 (15.) N.Gripshi, 1:1 (25.) O.Buff",53079,,False,False,False,2,,Tour qualificatif 1,TQ1,nt,,1.0,1.0,1.0,1.0,team,FC Ballkani,BAL,Vilnius FK Zalgiris,Vilnius FK Zalgiris,ZAL,,,,,
34115391,14,cupround,2022-07-05 20:00:00,The New Saints,1.0,0.0,Linfield FC,1,2,27,93959,False,1:0 (57.) R.Brobbel,4338,,False,False,False,2,,Tour qualificatif 1,TQ1,nt,home,0.0,0.0,1.0,0.0,team,The New Saints,FCNS,Linfield FC,Linfield FC,LIN,,,,,
34115411,14,cupround,2022-07-05 20:00:00,Lech Poznan,1.0,0.0,Qarabag FK,1,2,27,93959,False,1:0 (41.) M.Ishak,1184,,False,False,False,2,,Tour qualificatif 1,TQ1,nt,home,1.0,0.0,1.0,0.0,team,Lech Poznan,LPO,Qarabag FK,Qarabag FK,QAR,,,,,
34115407,14,cupround,2022-07-05 20:30:00,Shamrock Rovers,3.0,0.0,Hibernians FC,1,2,27,93959,False,"1:0 (25.) R.Finn, 2:0 (40.) D.Watts, 3:0 (78.) R.Gaffney",2491,,False,False,False,2,,Tour qualificatif 1,TQ1,nt,home,2.0,0.0,3.0,0.0,team,Shamrock Rovers,SHA,Hibernians FC,Hibernians FC,HIB,,,,,
34115415,14,cupround,2022-07-05 20:45:00,Shkupi Cair,3.0,0.0,Lincoln Red Imps,1,2,27,93959,False,"1:0 (11.) M.Danfa, 2:0 (29.) S.Adetunji, 3:0 (62.) R.Chipolina (og)",18253,,False,False,False,2,,Tour qualificatif 1,TQ1,nt,home,2.0,0.0,3.0,0.0,team,Shkupi Cair,SHK,Lincoln Red Imps,Lincoln Red Imps,LIN,,,,,
34115273,14,cupround,2022-07-06 16:00:00,Tobol Kostanaï,0.0,0.0,Ferencvaros,1,2,27,93959,False,,4246,,False,False,False,2,,Tour qualificatif 1,TQ1,nt,,0.0,0.0,0.0,0.0,team,Tobol Kostanaï,TOB,Ferencvaros,Ferencvaros,FTC,,,,,
34115311,14,cupround,2022-07-06 18:00:00,HJK,1.0,0.0,Rigas Futbola Skola,1,2,27,93959,False,1:0 (11.) M.Martic,1303,,False,False,False,2,,Tour qualificatif 1,TQ1,nt,home,1.0,0.0,1.0,0.0,team,HJK Helsinki,HJK,Rigas Futbola Skola,Rigas Futbola Skola,RFS,,,,,
