match_link,match_datetime,edition,phase_label,phase_type,home_team,score,away_team,winner_team,winner_home_away,aet,location,attendance_number,referee_name,referee_country,is_wo,home_score,away_score
,1938-06-5 17:00:00,1938,knockout stage,finals,Sweden,0–0,Austria,Sweden,home,"Stade Gerland, Lyon",,0,,,True,4,1
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1096,1930-07-13 15:00:00,1930,Group 1,groups,France,4–1,Mexico,France,home,False,"Estadio Pocitos, Montevideo",4444,Domingo Lombardi ,Uruguay,False,4,1
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1085,1930-07-15 16:00:00,1930,Group 1,groups,Argentina,1–0,France,Argentina,home,False,"Estadio Parque Central, Montevideo",23409,Almeida Rêgo ,Brazil,False,1,0
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1095,1930-07-16 14:45:00,1930,Group 1,groups,Chile,3–0,Mexico,Chile,home,False,"Estadio Parque Central, Montevideo",9249,Henri Christophe ,Belgium,False,3,0
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1094,1930-07-19 12:50:00,1930,Group 1,groups,Chile,1–0,France,Chile,home,False,"Estadio Centenario, Montevideo",2000,Anibal Tejada ,Uruguay,False,1,0
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1086,1930-07-19 15:00:00,1930,Group 1,groups,Argentina,6–3,Mexico,Argentina,home,False,"Estadio Centenario, Montevideo",42100,Ulises Saucedo ,Bolivia,False,6,3
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1084,1930-07-22 14:45:00,1930,Group 1,groups,Argentina,3–1,Chile,Argentina,home,False,"Estadio Centenario, Montevideo",41459,John Langenus ,Belgium,False,3,1
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1093,1930-07-14 12:45:00,1930,Group 2,groups,Yugoslavia,2–1,Brazil,Yugoslavia,home,False,"Estadio Parque Central, Montevideo",24059,Aníbal Tejada ,Uruguay,False,2,1
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1092,1930-07-17 12:45:00,1930,Group 2,groups,Yugoslavia,4–0,Bolivia,Yugoslavia,home,False,"Estadio Parque Central, Montevideo",18306,Francisco Mateucci ,Uruguay,False,4,0
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1091,1930-07-20 13:00:00,1930,Group 2,groups,Brazil,4–0,Bolivia,Brazil,home,False,"Estadio Centenario, Montevideo",25466,Thomas Balvay ,France,False,4,0
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1098,1930-07-14 14:50:00,1930,Group 3,groups,Romania,3–1,Peru,Romania,home,False,"Estadio Pocitos, Montevideo",2549,Alberto Warnken ,Chile,False,3,1
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1099,1930-07-18 14:30:00,1930,Group 3,groups,Uruguay,1–0,Peru,Uruguay,home,False,"Estadio Centenario, Montevideo",57735,John Langenus ,Belgium,False,1,0
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1100,1930-07-21 14:50:00,1930,Group 3,groups,Uruguay,4–0,Romania,Uruguay,home,False,"Estadio Centenario, Montevideo",70022,Almeida Rêgo ,Brazil,False,4,0
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1090,1930-07-13 15:00:00,1930,Group 4,groups,United States,3–0,Belgium,United States,home,False,"Estadio Parque Central, Montevideo",18346,José Macías ,Argentina,False,3,0
https://www.fifa.com/worldcup/archive/uruguay1930/matches/match/1097,1930-07-17 14:45:00,1930,Group 4,groups,United States,3–0,Paraguay,United States,home,False,"Estadio Parque Central, Montevideo",18306,José Macías ,Argentina,False,3,0
